"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"ELENG","42","Electrical Engineering and Computer Sciences","Introduction to Digital Electronics","3","3","-","Introduction to the principles of electrical engineering, starting from the basic concepts of voltage and current and circuit elements of resistors, capacitors, and inductors. Kirchhoff's voltage and current laws with Thevenin and Norton equivalents. Operational amplifiers with feedback. Semiconductor devices including diodes and MOSFETS and their IV characteristics. Applications of diodes for rectification, and design of MOSFETs in common source amplifiers. Digital logic gates and design using CMOS as well as simple flip-flops. Speed and scaling issues for CMOS. The course includes as motivating examples designs of high level applications including logic circuits, amplifiers, power supplies, and communication links.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","49","Electrical Engineering and Computer Sciences","Electronics for the Internet of Things","4","4","-","Electronics has become pervasive in our lives as a powerful technology with applications in a wide range of fields including healthcare, environmental monitoring, robotics, or entertainment. This course teaches how to build electronic circuits that interact with the environment through sensors and actuators and how to communicate wirelessly with the internet to cooperate with other devices and with humans. In the laboratory students design and build representative samples such as solar harvesters, robots, that exchange information with or are controlled from the cloud.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","84","Electrical Engineering and Computer Sciences","Sophomore Seminar","1","2","-","Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ELENG","97","Electrical Engineering and Computer Sciences","Field Study","1","4","-","Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","98","Electrical Engineering and Computer Sciences","Directed Group Study for Undergraduates","1","4","-","Group study of selected topics in electrical engineering, usually relating to new developments.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","99","Electrical Engineering and Computer Sciences","Individual Study and Research for Undergraduates","1","4","-","Supervised independent study and research for students with fewer than 60 units completed.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","105","Electrical Engineering and Computer Sciences","Microelectronic Devices and Circuits","4","4","-","This course covers the fundamental circuit and device concepts needed to understand analog integrated circuits. After an overview of the basic properties of semiconductors, the p-n junction and MOS capacitors are described and the MOSFET is modeled as a large-signal device. Two port small-signal amplifiers and their realization using single stage and multistage CMOS building blocks are discussed. Sinusoidal steady-state signals are introduced and the techniques of phasor analysis are developed, including impedance and the magnitude and phase response of linear circuits. The frequency responses of single and multi-stage amplifiers are analyzed. Differential amplifiers are introduced. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","108","Electrical Engineering and Computer Sciences","Introduction to Electric Power and Renewable Energy","4","4","-","This course is designed to provide an introduction to electric power conversion, distribution, and generation with renewable energy sources. The course will introduce fundamental concepts in the area of electric power, such as complex and reactive power, phasors, impedance, magnetic circuits and transformers, power factor, power quality, three-phase power, ac-dc conversion, and a conceptual overview of renewable energy and the integration of sustainable energy sources on the electric grid. Real world applications, ranging from ground-fault circuit interrupters to residential power distribution and solar photovoltaic dc-ac inverters will be explored in live lecture demonstration.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","113","Electrical Engineering and Computer Sciences","Power Electronics","4","4","-","Power conversion circuits and techniques. Characterization and design of magnetic devices including transformers, reactors, and electromagnetic machinery. Characteristics of bipolar and MOS power semiconductor devices. Applications to motor control, switching power supplies, lighting, power systems, and other areas as appropriate. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","113B","Electrical Engineering and Computer Sciences","Power Electronics Design","4","4","-","This course is the second in a two-semester series to equip students with the skills needed to analyze, design, and prototype power electronic converters. While EE 113/213A provides an overview of power electronics fundamentals and applications, EE 113B/213Bfocuses on the practical design and hardware implementation of power converters. The primary focus ofEE 113B/213B is time in the laboratory, with sequential modules on topics such as power electronic components,PCB layout, closed-loop control, and experimental validation. At the end of the course, students will havedesigned, prototyped, and validated a power converter from scratch, demonstrating a skill set that is critical forpower electronics engineers in research and industry. ","-","Course may be repeated for credit with instructor consent.","-","-","-"
"ELENG","117","Electrical Engineering and Computer Sciences","Electromagnetic Fields and Waves","4","4","-","Review of static electric and magnetic fields and applications; Maxwell's equations; transmission lines; propagation and reflection of plane waves; introduction to guided waves, microwave networks, and radiation and antennas. Minilabs on statics, transmission lines, and waves. Explanation of cellphone antennas, WiFi communication, and other wireless technologies.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","118","Electrical Engineering and Computer Sciences","Introduction to Optical Engineering","4","4","-","Fundamental principles of optical systems. Geometrical optics and aberration theory. Stops and apertures, prisms, and mirrors. Diffraction and interference. Optical materials and coatings. Radiometry and photometry. Basic optical devices and the human eye. The design of optical systems. Lasers, fiber optics, and holography. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","120","Electrical Engineering and Computer Sciences","Signals and Systems","4","4","-","Continuous and discrete-time transform analysis techniques with illustrative applications. Linear and time-invariant systems, transfer functions. Fourier series, Fourier transform, Laplace and Z-transforms. Sampling and reconstruction. Solution of differential and difference equations using transforms. Frequency response, Bode plots, stability analysis. Illustrated by analysis of communication systems and feedback control systems. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","121","Electrical Engineering and Computer Sciences","Introduction to Digital Communication Systems","4","4","-","Introduction to the basic principles of the design and analysis of modern digital communication systems. Topics include source coding, channel coding, baseband and passband modulation techniques, receiver design, and channel equalization. Applications to design of digital telephone modems, compact disks, and digital wireless communication systems. Concepts illustrated by a sequence of MATLAB exercises. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","122","Electrical Engineering and Computer Sciences","Introduction to Communication Networks","4","4","-","This course focuses on the fundamentals of the wired and wireless communication networks. The course covers both the architectural principles for making these networks scalable and robust, as well as the key techniques essential for analyzing and designing them. The topics include graph theory, Markov chains, queuing, optimization techniques, the physical and link layers, switching, transport, cellular networks and Wi-Fi.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","123","Electrical Engineering and Computer Sciences","Digital Signal Processing","4","4","-","Discrete time signals and systems: Fourier and Z transforms, DFT, 2-dimensional versions. Digital signal processing topics: flow graphs, realizations, FFT, chirp-Z algorithms, Hilbert transform relations, quantization effects, linear prediction. Digital filter design methods: windowing, frequency sampling, S-to-Z methods, frequency-transformation methods, optimization methods, 2-dimensional filter design. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","126","Electrical Engineering and Computer Sciences","Probability and Random Processes","4","4","-","This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","127","Electrical Engineering and Computer Sciences","Optimization Models in Engineering","4","4","-","This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.","-","-","-","-","-"
"ELENG","130","Electrical Engineering and Computer Sciences","Integrated-Circuit Devices","4","4","-","Overview of electronic properties of semiconductor. Metal-semiconductor contacts, pn junctions, bipolar transistors, and MOS field-effect transistors. Properties that are significant to device operation for integrated circuits. Silicon device fabrication technology. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","134","Electrical Engineering and Computer Sciences","Fundamentals of Photovoltaic Devices","4","4","-","This course is designed to give an introduction to, and overview of, the fundamentals of photovoltaic devices. Students will learn how solar cells work, understand the concepts and models of solar cell device physics, and formulate and solve relevant physical problems related to photovoltaic devices. Monocrystalline, thin film and third generation solar cells will be discussed and analyzed. Light management and economic considerations in a solar cell system will also be covered. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","137A","Electrical Engineering and Computer Sciences","Introduction to Electric Power Systems","4","4","-","Overview of conventional electric power conversion and delivery, emphasizing a systemic understanding of the electric grid with primary focus at the transmission level, aimed toward recognizing needs and opportunities for technological innovation. Topics include aspects of a.c. system design, electric generators, components of transmission and distribution systems, power flow analysis, system planning and operation, performance measures, and limitations of legacy technologies.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","137B","Electrical Engineering and Computer Sciences","Introduction to Electric Power Systems","4","4","-","Overview of recent and potential future evolution of electric power systems with focus on new and emerging technologies for power conversion and delivery, primarily at the distribution level. Topics include power electronics applications, solar and wind generation, distribution system design and operation, electric energy storage, information management and communications, demand response, and microgrids. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","140","Electrical Engineering and Computer Sciences","Linear Integrated Circuits","4","4","-","Single and multiple stage transistor amplifiers. Operational amplifiers. Feedback amplifiers, 2-port formulation, source, load, and feedback network loading. Frequency response of cascaded amplifiers, gain-bandwidth exchange, compensation, dominant pole techniques, root locus. Supply and temperature independent biasing and references. Selected applications of analog circuits such as analog-to-digital converters, switched capacitor filters, and comparators. Hardware laboratory and design project. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","141","Electrical Engineering and Computer Sciences","Introduction to Digital Integrated Circuits","4","4","-","CMOS devices and deep sub-micron manufacturing technology. CMOS inverters and complex gates. Modeling of interconnect wires. Optimization of designs with respect to a number of metrics: cost, reliability, performance, and power dissipation. Sequential circuits, timing considerations, and clocking approaches. Design of large system blocks, including arithmetic, interconnect, memories, and programmable logic arrays. Introduction to design methodologies, including hands-on experience.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","142","Electrical Engineering and Computer Sciences","Integrated Circuits for Communications","4","4","-","Analysis and design of electronic circuits for communication systems, with an emphasis on integrated circuits for wireless communication systems. Analysis of noise and distortion in amplifiers with application to radio receiver design. Power amplifier design with application to wireless radio transmitters. Radio-frequency mixers, oscillators, phase-locked loops, modulators, and demodulators. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","143","Electrical Engineering and Computer Sciences","Microfabrication Technology","4","4","-","Integrated circuit device fabrication and surface micromachining technology. Thermal oxidation, ion implantation, impurity diffusion, film deposition, expitaxy, lithography, etching, contacts and interconnections, and process integration issues. Device design and mask layout, relation between physical structure and electrical/mechanical performance. MOS transistors and poly-Si surface microstructures will be fabricated in the laboratory and evaluated. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","146L","Electrical Engineering and Computer Sciences","Application Specific Integrated Circuits Laboratory","2","2","-","This is a lab course that covers the design of modern Application-Specific Integrated Circuits (ASICs). The labs lay the foundation of modern digital design by first setting-up the scripting and hardware description language base for specification of digital systems and interactions with tool flows. Software testing of digital designs is covered leading into a set of labs that cover the design flow. Digital synthesis, floorplanning, placement and routing are covered, as well as tools to evaluate design timing and power. Chip-level assembly is covered, instantiation of custom IP blocks: I/O pads, memories, PLLs, etc. The labs culminate with a project design – implementation of a 3-stage RISC-V processor with register file and caches.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","147","Electrical Engineering and Computer Sciences","Introduction to Microelectromechanical Systems (MEMS)","3","3","-","This course will teach fundamentals of micromachining and microfabrication techniques, including planar thin-film process technologies, photolithographic techniques, deposition and etching techniques, and the other technologies that are central to MEMS fabrication. It will pay special attention to teaching of fundamentals necessary for the design and analysis of devices and systems in mechanical, electrical, fluidic, and thermal energy/signal domains, and will teach basic techniques for multi-domain analysis. Fundamentals of sensing and transduction mechanisms including capacitive and piezoresistive techniques, and design and analysis of micmicromachined miniature sensors and actuators using these techniques will be covered.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","192","Electrical Engineering and Computer Sciences","Mechatronic Design Laboratory","4","4","-","Design project course, focusing on application of theoretical principles in electrical engineering to control of a small-scale system, such as a mobile robot. Small teams of students will design and construct a mechatronic system incorporating sensors, actuators, and intelligence. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","194","Electrical Engineering and Computer Sciences","Special Topics","1","4","-","Topics will vary semester to semester. See the Electrical Engineering announcements.","-","Course may be repeated for credit when topic changes.","-","-","-"
"ELENG","197","Electrical Engineering and Computer Sciences","Field Study","1","4","-","Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","198","Electrical Engineering and Computer Sciences","Directed Group Study for Advanced Undergraduates","1","4","-","Group study of selected topics in electrical engineering, usually relating to new developments.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","199","Electrical Engineering and Computer Sciences","Supervised Independent Study","1","4","-","Supervised independent study. Enrollment restrictions apply.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","206A","Electrical Engineering and Computer Sciences","Introduction to Robotics","4","4","-","An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course will cover forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics and control-position, and force control. Proximity, tactile, and force sensing. Network modeling, stability, and fidelity in teleoperation and medical applications of robotics.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","206B","Electrical Engineering and Computer Sciences","Robotic Manipulation and Interaction","4","4","-","This course  is a sequel to EECS 125/225, which covers kinematics,dynamics and control of a single robot. This course will cover dynamics and control of groups of roboticmanipulators coordinating with each other and interacting with the environment. Concepts will includean introduction to grasping and the constrained manipulation, contacts and force control for interactionwith the environment. We will also cover active perception guided manipulation, as well as themanipulation of non-rigid objects. Throughout, we will emphasize design and human-robotinteractions, and applications to applications in manufacturing, service robotics, tele-surgery, andlocomotion. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","210","Electrical Engineering and Computer Sciences","Applied Electromagnetic Theory","3","3","-","Advanced treatment of classical electromagnetic theory with engineering applications. Boundary value problems in electrostatics. Applications of Maxwell's Equations to the study of waveguides, resonant cavities, optical fiber guides, Gaussian optics, diffraction, scattering, and antennas. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","213A","Electrical Engineering and Computer Sciences","Power Electronics","4","4","-","Power conversion circuits and techniques. Characterization and design of magnetic devices including transformers, reactors, and electromagnetic machinery. Characteristics of bipolar and MOS power semiconductor devices. Applications to motor control, switching power supplies, lighting, power systems, and other areas as appropriate.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","213B","Electrical Engineering and Computer Sciences","Power Electronics Design","4","4","-","This course is the second in a two-semester series to equip students with the skills needed to analyze, design, and prototype power electronic converters. While EE 113/213A provides an overview of power electronics fundamentals and applications, EE 113B/213B focuses on the practical design and hardware implementation of power converters. The primary focus of EE 113B/213B is time in the laboratory, with sequential modules on topics such as power electronic components, PCB layout, closed-loop control, and experimental validation. At the end of the course, students will have designed, prototyped, and validated a power converter from scratch, demonstrating a skill set that is critical for power electronics engineers in research and industry.","-","Course may be repeated for credit with instructor consent.","-","-","-"
"ELENG","218A","Electrical Engineering and Computer Sciences","Introduction to Optical Engineering","4","4","-","Fundamental principles of optical systems. Geometrical optics and aberration theory. Stops and apertures, prisms, and mirrors. Diffraction and interference. Optical materials and coatings. Radiometry and photometry. Basic optical devices and the human eye. The design of optical systems. Lasers, fiber optics, and holography.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","219B","Electrical Engineering and Computer Sciences","Logic Synthesis","4","4","-","The course covers the fundamental techniques for the design and analysis of digital circuits. The goal is to provide a detailed understanding of basic logic synthesis and analysis algorithms, and to enable students to apply this knowledge in the design of digital systems and EDA tools. The course will present combinational circuit optimization (two-level and multi-level synthesis), sequential circuit optimization (state encoding, retiming), timing analysis, testing, and logic verification.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","219C","Electrical Engineering and Computer Sciences","Computer-Aided Verification","3","3","-","Introduction to the theory and practice of formal methods for the design and analysis of systems, with a focus on automated algorithmic techniques. Covers selected topics in computational logic and automata theory including formal models of reactive systems, temporal logic, model checking, and automated theorem proving. Applications in hardware and software verification, analysis of embedded, real-time, and hybrid systems, computer security, synthesis, planning, constraint solving, and other areas will be explored as time permits.","-","-","-","-","-"
"ELENG","221A","Electrical Engineering and Computer Sciences","Linear System Theory","4","4","-","Basic system concepts; state-space and I/O representation. Properties of linear systems. Controllability, observability, minimality, state and output-feedback. Stability. Observers. Characteristic polynomial. Nyquist test.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","222","Electrical Engineering and Computer Sciences","Nonlinear Systems--Analysis, Stability and Control","3","3","-","Basic graduate course in non-linear systems. Second Order systems. Numerical solution methods, the describing function method, linearization. Stability - direct and indirect methods of Lyapunov. Applications to the Lure problem - Popov, circle criterion. Input-Output stability. Additional topics include: bifurcations of dynamical systems, introduction to the ""geometric"" theory of control for nonlinear systems, passivity concepts and dissipative dynamical systems. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","223","Electrical Engineering and Computer Sciences","Stochastic Systems: Estimation and Control","3","3","-","Parameter and state estimation. System identification. Nonlinear filtering. Stochastic control. Adaptive control. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","224A","Electrical Engineering and Computer Sciences","Digital Communications","4","4","-","Introduction to the basic principles of the design and analysis of modern digital communication systems. Topics include source coding; channel coding; baseband and passband modulation techniques; receiver design; channel equalization; information theoretic techniques; block, convolutional, and trellis coding techniques; multiuser communications and spread spectrum; multi-carrier techniques and FDM; carrier and symbol synchronization. Applications to design of digital telephone modems, compact disks, and digital wireless communication systems are illustrated. The concepts are illustrated by a sequence of MATLAB exercises. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","224B","Electrical Engineering and Computer Sciences","Fundamentals of Wireless Communication","3","3","-","Introduction of the fundamentals of wireless communication. Modeling of the wireless multipath fading channel and its basic physical parameters. Coherent and noncoherent reception. Diversity techniques over time, frequency, and space. Spread spectrum communication. Multiple access and interference management in wireless networks. Frequency re-use, sectorization. Multiple access techniques: TDMA, CDMA, OFDM. Capacity of wireless channels. Opportunistic communication. Multiple antenna systems: spatial multiplexing, space-time codes. Examples from existing wireless standards. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","225A","Electrical Engineering and Computer Sciences","Digital Signal Processing","3","3","-","Advanced techniques in signal processing. Stochastic signal processing, parametric statistical signal models, and adaptive filterings. Application to spectral estimation, speech and audio coding, adaptive equalization, noise cancellation, echo cancellation, and linear prediction.","-","-","-","-","-"
"ELENG","225B","Electrical Engineering and Computer Sciences","Digital Image Processing","3","3","-","2-D sequences and systems, separable systems, projection slice thm, reconstruction from projections and partial Fourier information, Z transform, different equations, recursive computability, 2D DFT and FFT, 2D FIR filter design; human eye, perception, psychophysical vision properties, photometry and colorimetry, optics and image systems; image enhancement, image restoration, geometrical image modification, morphological image processing, halftoning, edge detection, image compression: scalar quantization, lossless coding, huffman coding, arithmetic coding dictionary techniques, waveform and transform coding DCT, KLT, Hadammard, multiresolution coding pyramid, subband coding, Fractal coding, vector quantization, motion estimation and compensation, standards: JPEG, MPEG, H.xxx, pre- and post-processing, scalable image and video coding, image and video communication over noisy channels.","-","-","-","-","-"
"ELENG","225D","Electrical Engineering and Computer Sciences","Audio Signal Processing in Humans and Machines","3","3","-","Introduction to relevant signal processing and basics of pattern recognition. Introduction to coding, synthesis, and recognition. Models of speech and music production and perception. Signal processing for speech analysis. Pitch perception and auditory spectral analysis with applications to speech and music. Vocoders and music synthesizers. Statistical speech recognition, including introduction to Hidden Markov Model and Neural Network approaches. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","226A","Electrical Engineering and Computer Sciences","Random Processes in Systems","4","4","-","Probability, random variables and their convergence, random processes. Filtering of wide sense stationary processes, spectral density, Wiener and Kalman filters. Markov processes and Markov chains. Gaussian, birth and death, poisson and shot noise processes. Elementary queueing analysis. Detection of signals in Gaussian and shot noise, elementary parameter estimation.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","226B","Electrical Engineering and Computer Sciences","Applications of Stochastic Process Theory","2","2","-","Advanced topics such as: Martingale theory, stochastic calculus, random fields, queueing networks, stochastic control. ","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","227AT","Electrical Engineering and Computer Sciences","Optimization Models in Engineering","4","4","-","This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.","-","-","-","-","-"
"ELENG","227BT","Electrical Engineering and Computer Sciences","Convex Optimization","4","4","-","Convex optimization is a class of nonlinear optimization problems where the objective to be minimized, and the constraints, are both convex.   The course covers some convex optimization theory and algorithms, and describes various applications arising in engineering design, machine learning and statistics, finance, and operations research. The course includes laboratory assignments, which consist of hands-on experiments with the optimization software CVX, and a discussion section.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","228A","Electrical Engineering and Computer Sciences","High Speed Communications Networks","3","3","-","Descriptions, models, and approaches to the design and management of networks. Optical transmission and switching technologies are described and analyzed using deterministic, stochastic, and simulation models. FDDI, DQDB, SMDS, Frame Relay, ATM, networks, and SONET. Applications demanding high-speed communication. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","229A","Electrical Engineering and Computer Sciences","Information Theory and Coding","3","3","-","Fundamental bounds of Shannon theory and their application. Source and channel coding theorems. Galois field theory, algebraic error-correction codes. Private and public-key cryptographic systems.","-","Course is not repeatable for credit.","-","Offered alternate years.","-"
"ELENG","229B","Electrical Engineering and Computer Sciences","Error Control Coding","3","3","-","Error control codes are an integral part of most communication and recording systems where they are primarily used to provide resiliency to noise. In this course, we will cover the basics of error control coding for reliable digital transmission and storage. We will discuss the major classes of codes that are important in practice, including Reed Muller codes, cyclic codes, Reed Solomon codes, convolutional codes, concatenated codes, turbo codes, and low density parity check codes. The relevant background material from finite field and polynomial algebra will be developed as part of the course. Overview of topics: binary linear block codes; Reed Muller codes; Galois fields; linear block codes over a finite field; cyclic codes; BCH and Reed Solomon codes; convolutional codes and trellis based decoding, message passing decoding algorithms; trellis based soft decision decoding of block codes; turbo codes; low density parity check codes.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","230A","Electrical Engineering and Computer Sciences","Integrated-Circuit Devices","4","4","-","Overview of electronic properties of semiconductors. Metal-semiconductor contacts, pn junctions, bipolar transistors, and MOS field-effect transistors. Properties that are significant to device operation for integrated circuits. Silicon device fabrication technology. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","230B","Electrical Engineering and Computer Sciences","Solid State Devices","4","4","-","Physical principles and operational characteristics of semiconductor devices. Emphasis is on MOS field-effect transistors and their behaviors dictated by present and probable future technologies. Metal-oxide-semiconductor systems, short-channel and high field effects, device modeling, and impact on analog, digital circuits.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","230C","Electrical Engineering and Computer Sciences","Solid State Electronics","3","3","-","Crystal structure and symmetries. Energy-band theory. Cyclotron resonance. Tensor effective mass. Statistics of electronic state population. Recombination theory. Carrier transport theory. Interface properties. Optical processes and properties. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","232","Electrical Engineering and Computer Sciences","Lightwave Devices","4","4","-","This course is designed to give an introduction and overview of the fundamentals of optoelectronic devices. Topics such as optical gain and absorption spectra, quantization effects, strained quantum wells, optical waveguiding and coupling, and hetero p-n junction will be covered. This course will focus on basic physics and design principles of semiconductor diode lasers, light emitting diodes, photodetectors and integrated optics. Practical applications of the devices will be also discussed. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","234A","Electrical Engineering and Computer Sciences","Fundamentals of Photovoltaic Devices","4","4","-","This course is designed to give an introduction, and overview of, the fundamentals of photovoltaic devices. Students will learn how solar cells work, understand the concepts and models ofsolar cell device physics, and formulate and solve relevant physical problems related to photovoltaic devices. Monocrystalline, thin film and third generation solar cells will be discussed and analyzed. Light management and economic considerations in a solar cell system will also be covered.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","236A","Electrical Engineering and Computer Sciences","Quantum and Optical Electronics","3","3","-","Interaction of radiation with atomic and semiconductor systems, density matrix treatment, semiclassical laser theory (Lamb's), laser resonators, specific laser systems, laser dynamics, Q-switching and mode-locking, noise in lasers and optical amplifiers. Nonlinear optics, phase-conjugation, electrooptics, acoustooptics and magnetooptics, coherent optics, stimulated Raman and Brillouin scattering. ","-","Course is not repeatable for credit.","-","Offered alternate years.","-"
"ELENG","240A","Electrical Engineering and Computer Sciences","Analog Integrated Circuits","4","4","-","Single and multiple stage transistor amplifiers. Operational amplifiers. Feedback amplifiers, 2-port formulation, source, load, and feedback network loading. Frequency response of cascaded amplifiers, gain-bandwidth exchange, compensation, dominant pole techniques, root locus. Supply and temperature independent biasing and references. Selected applications of analog circuits such as analog-to-digital converters, switched capacitor filters, and comparators. Hardware laboratory and design project.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","240B","Electrical Engineering and Computer Sciences","Advanced Analog Integrated Circuits","4","4","-","Analysis and optimized design of monolithic operational amplifiers and wide-band amplifiers; methods of achieving wide-band amplification, gain-bandwidth considerations; analysis of noise in integrated circuits and low noise design. Precision passive elements, analog switches, amplifiers and comparators, voltage reference in NMOS and CMOS circuits, Serial, successive-approximation, and parallel analog-to-digital converters. Switched-capacitor and CCD filters. Applications to codecs, modems. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","240C","Electrical Engineering and Computer Sciences","Analysis and Design of VLSI Analog-Digital Interface Integrated Circuits","3","3","-","Architectural and circuit level design and analysis of integrated analog-to-digital and digital-to-analog interfaces in CMOS and BiCMOS VLSI technology. Analog-digital converters, digital-analog converters, sample/hold amplifiers, continuous and switched-capacitor filters. RF integrated electronics including synthesizers, LNA's, and baseband processing. Low power mixed signal design. Data communications functions including clock recovery. CAD tools for analog design including simulation and synthesis. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","241A","Electrical Engineering and Computer Sciences","Introduction to Digital Integrated Circuits","4","4","-","CMOS devices and deep sub-micron manufacturing technology. CMOS inverters and complex gates. Modeling of interconnect wires. Optimization of designs with respect to a number of metrics: cost, reliability, performance, and power dissipation. Sequential circuits, timing considerations, and clocking approaches. Design of large system blocks, including arithmetic, interconnect, memories, and programmable logic arrays. Introduction to design methodologies, including hands-on laboratory experience.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","241B","Electrical Engineering and Computer Sciences","Advanced Digital Integrated Circuits","3","3","-","Analysis and design of MOS and bipolar large-scale integrated circuits at the circuit level. Fabrication processes, device characteristics, parasitic effects static and dynamic digital circuits for logic and memory functions. Calculation of speed and power consumption from layout and fabrication parameters. ROM, RAM, EEPROM circuit design. Use of SPICE and other computer aids. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","242A","Electrical Engineering and Computer Sciences","Integrated Circuits for Communications","4","4","-","Analysis and design of electronic circuits for communication systems, with an emphasis on integrated circuits for wireless communication systems. Analysis of noise and distortion in amplifiers with application to radio receiver design. Power amplifier design with application to wireless radio transmitters. Radio-frequency mixers, oscillators, phase-locked loops, modulators, and demodulators. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","242B","Electrical Engineering and Computer Sciences","Advanced Integrated Circuits for Communications","3","3","-","Analysis, evaluation and design of present-day integrated circuits for communications application, particularly those for which nonlinear response must be included. MOS, bipolar and BICMOS circuits, audio and video power amplifiers, optimum performance of near-sinusoidal oscillators and frequency-translation circuits. Phase-locked loop ICs, analog multipliers and voltage-controlled oscillators; advanced components for telecommunication circuits. Use of new CAD tools and systems.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","243","Electrical Engineering and Computer Sciences","Advanced IC Processing and Layout","3","3","-","The key processes for the fabrication of integrated circuits. Optical, X-ray, and e-beam lithography, ion implantation, oxidation and diffusion. Thin film deposition. Wet and dry etching and ion milling. Effect of phase and defect equilibria on process control. ","-","Course is not repeatable for credit.","-","-","-"
